Stations,96301,97301,96401,97601,96101,97303,97603,96001,96501,96103,96601,96403,95015,96105,96603
,A 1,DT 1,N 1,C 1,S 1,T 1,C 3,SKP 1,KAN 1,TS 1,CTL 1,N 3,KP 1,TS 3,CTL 3
,,AC,,,,,AC,,,,,,,,
,,X,,,,,,,,,,,,,
Kurla,09:07,09:13,09:10,,09:17,09:14,09:21,09:17,09:25,09:21,09:29,09:24,09:33,09:29,09:37
Vidyavihar,…,09:16,…,,09:20,…,,…,09:28,…,09:32,…,09:36,…,09:40
Ghatkopar,09:11,09:20,…,,09:24,09:18,,09:21,09:31,09:25,09:35,…,09:39,09:33,09:43
Vikhroli,…,09:24,09:18,,09:28,…,,…,09:35,…,09:39,…,09:43,09:37,
Kanjur Marg,…,09:27,…,,09:31,…,,…,09:38,…,09:42,…,09:46,…,
Bhandup,09:19,09:30,…,,09:34,…,,09:29,09:41,09:33,09:45,…,09:49,…,
Nahur,…,09:33,…,,09:37,…,,…,09:44,…,09:49,…,09:52,…,
Mulund,…,09:36,09:27,,09:40,09:30,,…,09:47,…,09:53,09:40,09:57,09:45,
Thane,09:27,09:42,09:33,,09:45,09:34,,09:37,09:53,09:41,10:00,09:46,10:03,09:51,
Kalva,…,,,,09:50,…,,…,,…,,,10:08,…,
Mumbra,…,,,,09:56,…,,…,,…,,,10:14,…,
Diva,…,,,,10:00,…,,…,,…,,,10:18,…,
Kopar,…,,,,10:05,…,,…,,…,,,10:23,…,
Dombivli,09:43,,,,10:08,09:49,,09:52,,09:56,,,10:26,10:06,
Thakurli,…,,,,10:12,…,,…,,…,,,10:30,…,
Kalyan,09:51,,,,10:18,09:56,,09:58,,10:04,,,10:37,10:13,
Vithalwadi,09:55,,,,,10:01,,,,10:08,,,,10:17,
Ulhas Nagar,09:58,,,,,10:04,,,,10:11,,,,10:20,
Ambernath,10:04,,,,,10:08,,,,10:15,,,,10:24,
Badlapur,,,,,,10:17,,,,10:22,,,,10:32,
Vangani,,,,,,,,,,10:30,,,,,
Shelu,,,,,,,,,,10:34,,,,,
Neral,,,,,,,,,,10:38,,,,,
Bhivpuri Road,,,,,,,,,,10:45,,,,,
Karjat,,,,,,,,,,10:54,,,,,
Palasdhari,,,,10:45,,,,,,,,,,,
Kelavli,,,,10:52,,,,,,,,,,,
Dolavli,,,,10:55,,,,,,,,,,,
Lowjee,,,,10:59,,,,,,,,,,,
Khopoli,,,,11:05,,,,,,,,,,,
Shahad,,,,,,,,,,,,,,,
Ambivli,,,,,,,,,,,,,,,
Titwala,,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,97613 C 13,95601 TL 9,95305 A 13,97037 TK 1,97211 DL 11,97335 T 37,95503 AN 9,95211 BL 11,97615 C 15,97039 DK 3,97337 T 39,95603 TL 11,95111 S 15,97041 K 31,97213 DL 13
,,X,,,,,,,,,X,,,,X
CSMT,09:12,09:13,09:16,,09:16,09:20,09:20,09:23,09:23,,09:26,09:27,09:30,09:30,09:33
Masjid,09:15,…,…,,09:19,09:23,…,…,09:26,,09:30,…,…,09:34,09:37
Sandhurst Road,09:17,…,…,,09:21,09:25,…,…,09:28,,09:32,…,…,09:36,09:39
Byculla,09:20,09:20,09:23,,09:24,09:28,09:27,09:30,09:31,,09:35,09:34,09:38,09:39,09:42
Chinchpokli,09:22,…,…,,09:26,09:30,…,…,09:33,,09:37,…,…,09:41,09:44
Currey Road,09:24,…,…,,09:28,09:32,…,…,09:35,,09:39,…,…,09:43,09:46
Parel,09:27,…,…,,09:31,09:35,…,…,09:38,,09:42,…,…,09:46,09:49
Dadar,09:30,09:26,09:29,,09:34,09:38,09:33,09:36,09:41,09:44,09:47,09:40,09:44,09:51,09:54
Matunga,09:33,…,…,,09:37,09:41,…,…,09:44,09:47,09:50,…,…,09:54,09:57
Sion,09:36,…,…,,09:40,09:44,…,…,09:47,09:50,09:53,…,…,09:57,10:00
Kurla,09:40,09:33,09:36,,09:44,09:48,09:40,09:43,09:51,09:54,09:57,09:47,09:51,10:01,10:04
Vidyavihar,,…,…,,09:47,09:51,…,…,,09:57,10:00,…,…,10:04,10:07
Ghatkopar,,09:37,09:40,,09:50,09:54,09:44,09:47,,10:00,10:03,09:51,09:55,10:07,10:10
Vikhroli,,…,…,,09:54,09:58,…,…,,10:04,10:07,09:55,…,10:11,10:14
Kanjur Marg,,…,…,,09:57,10:01,…,…,,10:07,10:10,…,…,10:14,10:17
Bhandup,,09:45,09:48,,10:00,10:04,09:52,09:55,,10:10,10:13,,10:05,10:17,10:20
Nahur,,…,…,,10:03,10:07,…,…,,10:13,10:16,…,…,10:20,10:23
Mulund,,…,…,,10:06,10:10,…,…,,10:16,10:19,10:04,…,10:23,10:26
Thane,,09:55,09:58,10:06,10:11,10:16,10:02,10:05,,10:20,10:25,10:10,10:14,10:28,10:32
Kalva,,…,…,10:11,10:16,,…,…,,10:25,,…,…,10:33,10:37
Mumbra,,…,…,10:17,10:22,,…,…,,10:31,,…,…,10:39,10:43
Diva,,…,…,10:21,10:26,,…,…,,10:35,,…,…,10:43,10:47
Kopar,,…,…,10:26,10:31,,…,…,,10:40,,…,…,10:48,10:52
Dombivli,,10:11,10:15,10:29,10:34,,10:18,10:21,,10:43,,10:25,10:30,10:51,10:55
Thakurli,,…,…,10:33,,,…,…,,10:47,,…,…,10:55,
Kalyan,,10:18,10:22,10:40,,,10:26,10:28,,10:53,,10:33,10:38,11:01,
Vithalwadi,,,10:26,,,,,10:33,,,,,10:42,,
Ulhas Nagar,,,10:29,,,,,10:36,,,,,10:45,,
Ambernath,,,10:34,,,,,10:40,,,,,10:49,,
Badlapur,,,,,,,,10:48,,,,,10:56,,
Vangani,,,,,,,,,,,,,11:04,,
Shelu,,,,,,,,,,,,,11:08,,
Neral,,,,,,,,,,,,,11:12,,
Bhivpuri Road,,,,,,,,,,,,,11:19,,
Karjat,,,,,,,,,,,,,11:28,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,10:23,,,,,10:32,,,,,10:38,,,
Ambivli,,10:26,,,,,10:35,,,,,10:41,,,
Titwala,,10:35,,,,,10:41,,,,,10:50,,,
Khadavli,,,,,,,10:48,,,,,,,,
Vasind,,,,,,,10:55,,,,,,,,
Asangaon,,,,,,,11:05,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,95405,97339,95605,97043,95907,97617,95213,97341,95307,96619,97505,95113,97619,95713,97045
,N 11,T 41,TL 13,K 33,T 43,C 17,BL 13,T 45,A 15,TL 15,G 5,S 17,C 19,K 35,K 37
,,,,,15 C,,,,AC,,,,,AC,
,,X,,,X,X,,,X,,,,,X,X
CSMT,09:34,09:37,09:38,09:41,09:42,09:45,09:46,09:49,09:51,09:53,09:57,09:57,10:00,10:04,10:04
Masjid,…,09:40,…,09:44,…,09:48,…,09:52,…,09:56,10:00,…,10:03,…,10:07
Sandhurst Road,…,09:42,…,09:46,…,09:50,…,09:54,…,09:58,10:02,…,10:05,…,10:09
Byculla,09:42,09:45,09:46,09:49,…,09:53,09:53,09:57,09:58,10:01,10:05,10:05,10:08,10:11,10:12
Chinchpokli,…,09:47,…,09:51,…,09:55,…,09:59,…,10:03,10:07,…,10:10,…,10:14
Currey Road,…,09:49,…,09:53,…,09:57,…,10:01,…,10:05,10:09,…,10:12,…,10:16
Parel,…,09:52,…,09:56,…,10:00,…,10:04,…,10:08,10:12,…,10:15,…,10:19
Dadar,09:48,09:57,09:52,10:00,09:55,10:03,09:59,10:07,10:04,10:11,10:15,10:11,10:18,10:17,10:22
Matunga,…,10:00,…,10:03,…,10:06,…,10:10,…,10:14,10:18,…,10:21,…,10:25
Sion,…,10:03,…,10:06,…,10:09,…,10:13,…,10:17,10:21,…,10:24,…,10:28
Kurla,09:55,10:07,09:59,10:10,10:02,10:13,10:06,10:17,10:11,10:21,10:25,10:18,10:28,10:24,10:32
Vidyavihar,…,10:10,…,10:13,…,,…,10:20,…,10:24,10:28,…,,…,10:35
Ghatkopar,09:59,10:13,10:03,10:16,10:06,,10:10,10:23,…,10:27,10:31,10:22,,10:28,10:38
Vikhroli,…,10:17,…,10:20,…,,10:14,10:27,10:19,10:31,,…,,…,10:42
Kanjur Marg,…,10:20,…,10:23,…,,…,10:30,…,10:34,,…,,…,10:45
Bhandup,…,10:23,…,10:26,…,,,10:33,,10:37,,…,,…,10:48
Nahur,…,10:26,…,10:29,…,,…,10:36,…,10:40,,…,,…,10:51
Mulund,10:12,10:29,10:16,10:33,10:18,,10:22,10:39,10:27,10:43,,…,,…,10:54
Thane,10:17,10:35,10:21,10:38,10:24,,10:27,10:46,10:32,10:50,,10:38,,10:44,10:59
Kalva,…,,…,10:44,,,…,,…,10:56,,…,,…,11:04
Mumbra,…,,…,10:50,,,…,,…,11:02,,…,,…,11:10
Diva,10:28,,10:32,10:54,,,…,,…,11:06,,10:49,,…,11:14
Kopar,…,,…,10:59,,,…,,…,11:11,,…,,…,11:19
Dombivli,10:35,,10:39,11:02,,,10:42,,10:47,11:14,,10:55,,11:00,11:23
Thakurli,…,,…,11:06,,,…,,…,11:18,,…,,…,11:27
Kalyan,10:43,,10:47,11:12,,,10:49,,10:55,11:24,,11:04,,11:07,11:33
Vithalwadi,,,,,,,10:53,,11:00,,,11:09,,,
Ulhas Nagar,,,,,,,10:55,,11:03,,,11:12,,,
Ambernath,,,,,,,10:59,,11:08,,,11:16,,,
Badlapur,,,,,,,11:08,,,,,11:23,,,
Vangani,,,,,,,,,,,,11:31,,,
Shelu,,,,,,,,,,,,11:35,,,
Neral,,,,,,,,,,,,11:39,,,
Bhivpuri Road,,,,,,,,,,,,11:46,,,
Karjat,,,,,,,,,,,,11:55,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,10:48,,10:52,,,,,,,11:29,,,,,
Ambivli,10:51,,10:55,,,,,,,11:33,,,,,
Titwala,10:57,,11:04,,,,,,,11:41,,,,,
Khadavli,11:04,,,,,,,,,,,,,,
Vasind,11:11,,,,,,,,,,,,,,
Asangaon,11:20,,,,,,,,,,,,,,
Atgaon,11:29,,,,,,,,,,,,,,
Khardi,11:39,,,,,,,,,,,,,,
Kasara,11:57,,,,,,,,,,,,,,
Stations,95215 BL 15,97343 T 47 X,95309 A 17,97047 K 39,95407 N 13,97345 T 49,95217 BL 17,97215 DL 15,95311 A 19,97049 PK 7,95715 DK 5 15 C X,96009 SKP 7,97347 T 51,97621 C 21 X,97217 DL 17
CSMT,10:08,10:07,10:12,10:14,10:16,10:18,10:20,10:22,10:25,,,,10:27,10:30,10:34
Masjid,…,10:10,…,10:17,…,10:21,…,10:25,…,,,,10:30,10:33,10:37
Sandhurst Road,…,10:12,…,10:19,…,10:23,…,10:27,…,,,,10:32,10:35,10:39
Byculla,10:15,10:15,10:19,10:22,10:23,10:26,10:27,10:30,10:32,,,,10:35,10:38,10:42
Chinchpokli,…,10:17,…,10:24,…,10:28,…,10:32,…,,,,10:37,10:40,10:44
Currey Road,…,10:19,…,10:26,…,10:30,…,10:34,…,,,,10:39,10:42,10:46
Parel,…,10:22,…,10:29,…,10:33,…,10:37,…,10:40,,,10:44,10:47,10:51
Dadar,10:21,10:25,10:25,10:32,10:29,10:36,10:33,10:40,10:38,10:44,10:45,,10:47,10:52,10:55
Matunga,…,10:28,…,10:34,…,10:39,…,10:43,…,10:48,…,,10:51,10:55,10:59
Sion,…,10:31,…,10:37,…,10:42,…,10:46,…,10:51,…,,10:54,10:58,11:02
Kurla,10:28,10:35,10:32,10:41,10:36,10:46,10:40,10:50,10:45,10:55,10:53,,10:58,11:02,11:06
Vidyavihar,…,10:38,…,10:44,…,10:49,…,10:53,…,10:58,…,,11:01,,11:09
Ghatkopar,10:32,10:41,10:36,10:47,10:40,10:52,10:44,10:56,10:49,11:01,10:57,,11:04,,11:12
Vikhroli,10:37,10:45,…,10:51,…,10:56,10:48,11:00,…,11:05,…,,11:09,,11:16
Kanjur Marg,…,10:48,…,10:54,…,10:59,…,11:03,…,11:08,…,,11:12,,11:19
Bhandup,,10:51,10:46,10:57,…,11:02,,11:06,10:57,11:11,…,,11:15,,11:22
Nahur,…,10:54,…,11:00,…,11:05,…,11:09,…,11:15,…,,11:18,,11:25
Mulund,10:45,10:57,…,11:03,10:53,11:08,10:56,11:12,…,11:19,…,,11:22,,11:28
Thane,10:50,11:04,10:54,11:08,10:57,11:13,11:00,11:16,11:06,11:24,11:14,,11:28,,11:33
Kalva,…,,…,11:13,…,,…,11:21,…,11:28,…,,,,11:37
Mumbra,…,,…,11:19,…,,…,11:27,…,11:34,…,,,,11:43
Diva,…,,…,11:23,11:07,,…,11:31,11:15,11:38,…,,,,11:47
Kopar,…,,…,11:28,…,,…,11:36,…,11:43,…,,,,11:52
Dombivli,11:05,,11:09,11:32,11:13,,11:15,11:40,11:22,11:46,11:29,,,,11:55
Thakurli,…,,…,11:36,…,,…,,…,11:50,…,,,,
Kalyan,11:12,,11:16,11:42,11:21,,11:24,,11:30,11:56,11:36,,,,
Vithalwadi,11:17,,11:20,,,,11:29,,11:34,,,,,,
Ulhas Nagar,11:20,,11:23,,,,11:32,,11:37,,,,,,
Ambernath,11:24,,11:29,,,,11:37,,11:45,,,,,,
Badlapur,11:32,,,,,,11:46,,,,,,,,
Vangani,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,12:05,,,
Kelavli,,,,,,,,,,,,12:12,,,
Dolavli,,,,,,,,,,,,12:15,,,
Lowjee,,,,,,,,,,,,12:19,,,
Khopoli,,,,,,,,,,,,12:25,,,
Shahad,,,,,11:26,,,,,,,,,,
Ambivli,,,,,11:29,,,,,,,,,,
Titwala,,,,,11:35,,,,,,,,,,
Khadavli,,,,,11:42,,,,,,,,,,
Vasind,,,,,11:49,,,,,,,,,,
Asangaon,,,,,11:55,,,,,,,,,,
Atgaon,,,,,12:04,,,,,,,,,,
Khardi,,,,,12:14,,,,,,,,,,
Kasara,,,,,12:34,,,,,,,,,,
Stations,95115 S 19,95219 BL 19,97349 T 53,97623 C 23 X,97051 K 41,95607 TL 17,97351 T 55 X,95313 A 21,95221 DBL 1 AC X,96513 TAN 3,97053 PK 9,97353 T 57,95609 TL 19,97625 C 25 X,96621 TL 21
CSMT,10:36,10:40,10:39,10:44,10:48,10:48,10:51,10:52,,,,10:56,10:58,11:00,11:04
Masjid,…,…,10:42,10:47,10:51,…,10:54,…,,,,10:59,…,11:03,11:07
Sandhurst Road,…,…,10:44,10:49,10:53,…,10:56,…,,,,11:01,…,11:05,11:09
Byculla,10:44,10:47,10:47,10:52,10:56,10:55,10:59,10:59,,,,11:04,11:05,11:08,11:12
Chinchpokli,…,…,10:49,10:54,10:58,…,11:01,…,,,,11:06,…,11:10,11:14
Currey Road,…,…,10:51,10:56,11:00,…,11:03,…,,,,11:08,…,11:12,11:16
Parel,…,…,10:55,10:59,11:03,…,11:06,…,,,11:09,11:12,…,11:15,11:19
Dadar,10:50,10:53,10:59,11:02,11:06,11:01,11:09,11:05,11:08,,11:12,11:15,11:11,11:19,11:22
Matunga,…,…,11:03,11:06,11:10,…,11:13,…,…,,11:16,11:19,…,11:22,11:25
Sion,…,…,11:06,11:09,11:13,…,11:16,…,…,,11:19,11:22,…,11:25,11:28
Kurla,10:57,11:00,11:10,11:13,11:17,11:08,11:20,11:12,11:15,,11:23,11:26,11:18,11:29,11:32
Vidyavihar,…,…,11:13,,11:20,…,11:23,…,…,,11:26,11:29,…,,11:35
Ghatkopar,11:01,11:04,11:16,,11:23,11:12,11:26,11:16,11:19,,11:29,11:32,11:22,,11:38
Vikhroli,…,11:08,11:20,,11:27,…,11:30,…,…,,11:33,11:36,…,,11:42
Kanjur Marg,…,…,11:23,,11:30,…,11:33,…,…,,11:36,11:39,…,,11:45
Bhandup,11:09,,11:26,,11:33,,11:36,…,…,,11:39,11:42,…,,11:48
Nahur,…,…,11:29,,11:36,…,11:39,…,…,,11:42,11:45,…,,11:51
Mulund,…,11:16,11:32,,11:39,11:24,11:42,…,…,,11:45,11:48,11:34,,11:54
Thane,11:17,11:21,11:37,,11:45,11:28,11:48,11:31,11:34,11:49,11:52,11:54,11:40,,12:00
Kalva,…,…,,,11:50,…,,…,…,11:54,11:57,,11:45,,12:06
Mumbra,…,…,,,11:56,…,,…,…,12:00,12:03,,11:51,,12:12
Diva,…,…,,,12:00,…,,…,…,12:04,12:07,,11:55,,12:16
Kopar,…,…,,,12:05,…,,…,…,12:09,12:12,,12:00,,12:21
Dombivli,11:32,11:36,,,12:08,11:44,,11:47,11:50,12:13,12:16,,12:03,,12:24
Thakurli,…,…,,,12:12,…,,…,…,12:18,12:21,,12:07,,12:28
Kalyan,11:40,11:48,,,12:18,11:53,,11:57,12:00,12:27,12:28,,12:13,,12:34
Vithalwadi,11:45,11:52,,,,,,12:01,12:05,,,,,,
Ulhas Nagar,11:48,11:55,,,,,,12:04,12:08,,,,,,
Ambernath,11:52,11:59,,,,,,12:09,12:13,,,,,,
Badlapur,11:59,12:07,,,,,,,12:21,,,,,,
Vangani,12:07,,,,,,,,,,,,,,
Shelu,12:11,,,,,,,,,,,,,,
Neral,12:15,,,,,,,,,,,,,,
Bhivpuri Road,12:22,,,,,,,,,,,,,,
Karjat,12:32,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,,,,,11:57,,,,12:32,,,12:18,,12:38
Ambivli,,,,,,12:00,,,,12:35,,,12:21,,12:41
Titwala,,,,,,12:08,,,,12:41,,,12:29,,12:49
Khadavli,,,,,,,,,,12:48,,,,,
Vasind,,,,,,,,,,12:55,,,,,
Asangaon,,,,,,,,,,13:03,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,97355,97627,95117,96011,96109,97357,95315,97055,96623,97057,97219,97059,97359,95801,96311
,T 59,C 27,S 21,SKP 9,TS 5,T 61,A 23,K 43,TL 23,PK 11,DL 19,CK 11,T 63,DL 21,A 25
,,,,,,,,,,,,,,15 C,
,X,,,,,,,,,,X,,X,XX,
CSMT,11:07,11:12,11:14,,,11:16,11:18,11:20,11:24,,11:30,,11:36,11:37,11:40
Masjid,11:10,11:15,…,,,11:19,…,11:23,11:27,,11:33,,11:39,…,11:43
Sandhurst Road,11:12,11:17,…,,,11:21,…,11:25,11:29,,11:35,,11:41,…,11:45
Byculla,11:15,11:20,11:21,,,11:24,11:25,11:28,11:32,,11:38,,11:44,11:45,11:48
Chinchpokli,11:17,11:22,…,,,11:26,…,11:30,11:34,,11:40,,11:46,…,11:50
Currey Road,11:19,11:24,…,,,11:28,…,11:32,11:36,,11:42,,11:48,…,11:52
Parel,11:22,11:27,…,,,11:31,…,11:35,11:39,11:42,11:45,,11:51,…,11:55
Dadar,11:25,11:30,11:27,,,11:34,11:31,11:38,11:42,11:45,11:48,,11:54,11:51,11:58
Matunga,11:28,11:33,…,,,11:37,…,11:41,11:45,11:48,11:51,,11:57,…,12:01
Sion,11:31,11:36,…,,,11:40,…,11:44,11:48,11:51,11:54,,12:00,…,12:04
Kurla,11:35,11:40,11:34,,,11:44,11:38,11:48,11:52,11:55,11:58,12:01,12:04,11:58,12:08
Vidyavihar,11:38,,…,,,11:47,…,11:51,11:55,11:58,12:01,12:05,12:08,…,12:12
Ghatkopar,11:41,,11:38,,,11:50,11:42,11:54,11:58,12:01,12:04,12:08,12:11,12:02,12:15
Vikhroli,11:45,,…,,,11:54,…,11:58,12:02,12:05,12:08,12:12,12:15,…,12:19
Kanjur Marg,11:48,,…,,,11:57,…,12:01,12:05,12:08,12:11,12:15,12:18,…,12:22
Bhandup,11:51,,…,,,12:00,11:50,12:04,12:08,12:11,12:14,12:18,12:21,12:10,12:25
Nahur,11:54,,…,,,12:03,…,12:07,12:11,12:14,12:17,12:21,12:24,…,12:28
Mulund,11:57,,11:49,,,12:06,…,12:10,12:14,12:17,12:21,12:24,12:27,…,12:31
Thane,12:01,,11:53,,12:05,12:11,11:58,12:15,12:19,12:23,12:27,12:30,12:33,12:17,12:37
Kalva,,,…,,12:10,,…,12:20,12:24,12:28,12:32,12:35,,…,12:42
Mumbra,,,…,,12:16,,…,12:26,12:30,12:34,12:38,12:41,,…,12:48
Diva,,,…,,12:20,,12:09,12:30,12:34,12:38,12:42,12:45,,…,12:52
Kopar,,,…,,12:25,,…,12:35,12:39,12:43,12:47,12:50,,…,12:57
Dombivli,,,12:08,,12:28,,12:15,12:38,12:43,12:46,12:50,12:54,,12:32,13:00
Thakurli,,,…,,12:32,,…,12:42,12:47,12:50,,12:58,,,13:04
Kalyan,,,12:17,,12:39,,12:24,12:48,12:53,12:56,,13:04,,,13:12
Vithalwadi,,,12:21,,12:44,,12:28,,,,,,,,13:16
Ulhas Nagar,,,12:24,,12:47,,12:31,,,,,,,,13:19
Ambernath,,,12:28,,12:51,,12:36,,,,,,,,13:24
Badlapur,,,12:35,,12:58,,,,,,,,,,
Vangani,,,12:43,,13:06,,,,,,,,,,
Shelu,,,12:47,,13:10,,,,,,,,,,
Neral,,,12:51,,13:14,,,,,,,,,,
Bhivpuri Road,,,12:58,,13:21,,,,,,,,,,
Karjat,,,13:08,,13:31,,,,,,,,,,
Palasdhari,,,,13:20,,,,,,,,,,,
Kelavli,,,,13:27,,,,,,,,,,,
Dolavli,,,,13:30,,,,,,,,,,,
Lowjee,,,,13:34,,,,,,,,,,,
Khopoli,,,,13:40,,,,,,,,,,,
Shahad,,,,,,,,,12:57,,,,,,
Ambivli,,,,,,,,,13:00,,,,,,
Titwala,,,,,,,,,13:08,,,,,,
Khadavli,,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,95409 N 15,97361 T 65 X,95223 BL 21,97061 K 45,96625 TL 25,96313 A 27,97221 PDL 1,97063 K 47,95225 DBL 3 AC X,96203 TBL 1,97065 K 49,97223 PDL 3,95003 KP 5,97363 T 67,95717 K 51 X
CSMT,11:42,11:45,11:50,11:50,11:54,11:58,,12:07,,,12:15,,12:20,12:24,12:25
Masjid,…,11:48,…,11:53,11:57,12:01,,12:10,,,12:18,,…,12:27,…
Sandhurst Road,,11:50,…,11:55,11:59,12:03,,12:12,,,12:20,,…,12:29,…
Byculla,11:49,11:53,11:57,11:58,12:02,12:06,,12:15,,,12:23,,12:27,12:32,12:32
Chinchpokli,…,11:55,…,12:00,12:04,12:08,,12:17,,,12:25,,…,12:34,…
Currey Road,…,11:57,…,12:02,12:06,12:10,,12:19,,,12:27,,…,12:36,…
Parel,…,12:00,…,12:05,12:09,12:13,12:17,12:22,,,12:30,12:34,…,12:39,…
Dadar,11:55,12:03,12:03,12:08,12:12,12:16,12:20,12:25,12:30,,12:33,12:37,12:33,12:42,12:38
Matunga,…,12:06,…,12:11,12:15,12:19,12:24,12:28,…,,12:36,12:41,…,12:45,…
Sion,…,12:09,…,12:14,12:18,12:22,12:27,12:31,…,,12:39,12:44,…,12:48,…
Kurla,12:02,12:13,12:10,12:18,12:22,12:26,12:31,12:35,12:38,,12:43,12:48,12:41,12:52,12:46
Vidyavihar,…,12:17,…,12:21,12:25,12:29,12:34,12:38,…,,12:46,12:51,…,12:55,…
Ghatkopar,12:06,12:20,12:14,12:24,12:28,12:32,12:37,12:41,12:42,,12:49,12:54,12:45,12:58,12:50
Vikhroli,…,12:24,…,12:28,12:32,12:36,12:41,12:45,…,,12:53,12:58,…,13:02,…
Kanjur Marg,…,12:27,…,12:31,12:35,12:39,12:44,12:48,…,,12:56,13:01,…,13:05,…
Bhandup,…,12:30,…,12:34,12:38,12:42,12:47,12:51,…,,12:59,13:04,…,13:08,…
Nahur,…,12:33,…,12:37,12:41,12:45,12:50,12:54,…,,13:02,13:07,…,13:11,…
Mulund,12:18,12:36,…,12:40,12:44,12:48,12:53,12:57,…,,13:05,13:10,…,13:14,…
Thane,12:22,12:40,12:30,12:45,12:49,12:53,12:58,13:02,12:57,13:06,13:10,13:15,13:01,13:20,13:06
Kalva,…,,…,12:50,12:54,12:58,13:03,13:07,…,13:11,13:15,13:20,…,,…
Mumbra,…,,…,12:56,13:00,13:04,13:09,13:13,…,13:17,13:21,13:26,…,,…
Diva,12:33,,…,13:00,13:04,13:08,13:13,13:17,…,13:21,13:25,13:30,…,,…
Kopar,…,,…,13:05,13:09,13:13,13:18,13:22,…,13:26,13:30,13:35,…,,…
Dombivli,12:38,,12:46,13:08,13:12,13:16,13:22,13:26,13:13,13:29,13:34,13:39,13:17,,13:22
Thakurli,…,,…,13:12,13:16,13:20,,13:30,…,13:33,13:38,,…,,…
Kalyan,12:47,,12:54,13:18,13:23,13:29,,13:36,13:21,13:40,13:44,,13:26,,13:29
Vithalwadi,,,12:58,,,13:34,,,13:25,13:45,,,13:31,,
Ulhas Nagar,,,13:01,,,13:37,,,13:28,13:48,,,13:34,,
Ambernath,,,13:05,,,13:44,,,13:32,13:52,,,13:38,,
Badlapur,,,13:12,,,,,,13:39,13:59,,,13:45,,
Vangani,,,,,,,,,,,,,13:53,,
Shelu,,,,,,,,,,,,,13:57,,
Neral,,,,,,,,,,,,,14:01,,
Bhivpuri Road,,,,,,,,,,,,,14:08,,
Karjat,,,,,,,,,,,,,14:19,,
Palasdhari,,,,,,,,,,,,,14:24,,
Kelavli,,,,,,,,,,,,,14:31,,
Dolavli,,,,,,,,,,,,,14:34,,
Lowjee,,,,,,,,,,,,,14:38,,
Khopoli,,,,,,,,,,,,,14:44,,
Shahad,12:52,,,,13:27,,,,,,,,,,
Ambivli,12:55,,,,13:30,,,,,,,,,,
Titwala,13:01,,,,13:38,,,,,,,,,,
Khadavli,13:08,,,,,,,,,,,,,,
Vasind,13:15,,,,,,,,,,,,,,
Asangaon,13:21,,,,,,,,,,,,,,
Atgaon,13:30,,,,,,,,,,,,,,
Khardi,13:40,,,,,,,,,,,,,,
Kasara,13:58,,,,,,,,,,,,,,
Stations,97067,95411,97069,97225,96627,97071,96315,95719,97073,95317,97365,97075,96407,97367,96629
,K 53,N 17,K 55,DL 23,TL 27,DK 7,A 29,K 57,K 59,A 31,T 69,K 61,TN 1,T 71,TL 29
,,,,,,,,15 C,,,,,,AC,
,,,X,,,X,,X,,,X,,,X,
CSMT,12:27,12:30,12:32,12:38,12:44,,12:50,12:53,12:54,12:57,12:58,13:02,,13:06,13:10
Masjid,12:30,…,12:35,12:41,12:47,,12:53,…,12:57,…,13:01,13:05,,13:09,13:13
Sandhurst Road,12:32,…,12:37,12:43,12:49,,12:55,…,12:59,…,13:03,13:07,,13:11,13:15
Byculla,12:35,12:37,12:40,12:46,12:52,,12:58,13:01,13:02,13:04,13:06,13:10,,13:14,13:18
